CustomerID,Segment,AgeGroup,LoyaltyTier
50094,Consumer,25-34,Gold
50095,Consumer,45-54,Bronze
50096,Consumer,25-34,Gold
50097,Corporate,65+,Bronze
50098,Consumer,45-54,Bronze
50099,Consumer,25-34,Bronze
50100,Consumer,55-64,Bronze
50101,Consumer,25-34,Bronze
50102,Consumer,35-44,Bronze
50103,Consumer,25-34,Gold
50104,Consumer,35-44,Bronze
50105,Consumer,25-34,Gold
50106,SMB,25-34,Bronze
50107,Consumer,25-34,Bronze
50108,Consumer,65+,Bronze
50109,Consumer,25-34,Bronze
50110,Consumer,25-34,Gold
50111,SMB,35-44,Silver
50112,Consumer,18-24,Silver
50113,Corporate,25-34,Gold
50114,SMB,35-44,Silver
50115,Consumer,45-54,Bronze
50116,Consumer,35-44,Gold
50117,Consumer,35-44,Silver
50118,Consumer,45-54,Bronze
50119,SMB,55-64,Silver
50120,Consumer,25-34,Bronze
50121,Corporate,25-34,Silver
50122,SMB,45-54,Silver
50123,Consumer,35-44,Gold
50124,Consumer,55-64,Bronze
50125,Consumer,18-24,Silver
50126,SMB,35-44,Bronze
50127,Corporate,35-44,Gold
50128,Corporate,25-34,Bronze
50129,Consumer,55-64,Gold
50130,Consumer,25-34,Gold
50131,Consumer,55-64,Bronze
50132,Consumer,55-64,Bronze
50133,Corporate,65+,Silver
50134,Consumer,18-24,Gold
50135,Consumer,25-34,Bronze
50136,Consumer,18-24,Gold
50137,Consumer,25-34,Bronze
50138,SMB,65+,Bronze
50139,Consumer,45-54,Gold
50140,Consumer,25-34,Bronze
50141,SMB,18-24,Bronze
50142,SMB,55-64,Silver
50143,Consumer,45-54,Silver
50144,Consumer,18-24,Bronze
50145,Consumer,45-54,Silver
50146,Consumer,25-34,Bronze
50147,Consumer,25-34,Bronze
50148,Consumer,18-24,Bronze
50149,Corporate,65+,Bronze
50150,Consumer,35-44,Bronze
50151,SMB,45-54,Bronze
50152,Consumer,25-34,Bronze
50153,SMB,35-44,Gold
50154,Consumer,45-54,Bronze
50155,Consumer,55-64,Bronze
50156,SMB,65+,Gold
50157,Consumer,25-34,Silver
50158,Consumer,25-34,Gold
50159,SMB,35-44,Bronze
50160,Consumer,25-34,Silver
50161,Consumer,55-64,Bronze
50162,Consumer,35-44,Gold
50163,Corporate,35-44,Bronze
50164,Consumer,35-44,Gold
50165,SMB,45-54,Bronze
50166,Consumer,35-44,Silver
50167,SMB,18-24,Silver
50168,Consumer,45-54,Silver
50169,Consumer,18-24,Bronze
50170,Consumer,55-64,Gold
50171,Consumer,25-34,Bronze
50172,SMB,25-34,Bronze
50173,Consumer,35-44,Silver
50174,Consumer,65+,Bronze
50175,SMB,35-44,Silver
50176,Consumer,35-44,Silver
50177,Consumer,35-44,Bronze
50178,Consumer,18-24,Bronze
50179,Consumer,25-34,Bronze
50180,SMB,65+,Silver
50181,Consumer,65+,Silver
50182,SMB,25-34,Gold
50183,Consumer,65+,Bronze
50184,SMB,18-24,Bronze
50185,Consumer,45-54,Silver
50186,SMB,18-24,Silver
50187,Consumer,35-44,Silver
50188,Consumer,35-44,Bronze
50189,Consumer,35-44,Bronze
50190,Corporate,65+,Silver
50191,SMB,35-44,Gold
50192,Consumer,18-24,Bronze
50193,SMB,18-24,Silver
50194,Consumer,55-64,Silver
50195,Consumer,25-34,Gold
50196,SMB,18-24,Bronze
50197,Consumer,25-34,Bronze
50198,Consumer,65+,Bronze
50199,Consumer,35-44,Bronze
50200,Consumer,25-34,Silver
50201,Consumer,45-54,Bronze
50202,Consumer,35-44,Gold
50203,Consumer,35-44,Bronze
50204,Consumer,65+,Silver
50205,Consumer,45-54,Bronze
50206,Consumer,35-44,Silver
50207,SMB,65+,Bronze
50208,Corporate,35-44,Bronze
50209,Consumer,35-44,Bronze
50210,Consumer,55-64,Bronze
50211,Consumer,65+,Bronze
50212,Consumer,45-54,Gold
50213,Consumer,35-44,Gold
50214,SMB,35-44,Silver
50215,Consumer,18-24,Bronze
50216,SMB,25-34,Gold
50217,Consumer,55-64,Silver
50218,Consumer,35-44,Silver
50219,SMB,55-64,Silver
50220,SMB,45-54,Bronze
50221,Consumer,45-54,Bronze
50222,Consumer,55-64,Bronze
50223,Consumer,35-44,Bronze
50224,SMB,45-54,Bronze
50225,Consumer,35-44,Gold
50226,Consumer,35-44,Bronze
50227,SMB,55-64,Silver
50228,Consumer,18-24,Bronze
50229,Consumer,65+,Gold
50230,Corporate,65+,Silver
50231,Consumer,55-64,Bronze
50232,Consumer,35-44,Bronze
50233,Consumer,35-44,Silver
50234,Consumer,35-44,Bronze
50235,Consumer,35-44,Bronze
50236,Consumer,25-34,Bronze
50237,Corporate,55-64,Bronze
50238,Consumer,55-64,Silver
50239,Consumer,35-44,Silver
50240,Consumer,55-64,Silver
50241,Consumer,25-34,Bronze
50242,SMB,55-64,Silver
50243,Consumer,65+,Silver
50244,SMB,45-54,Bronze
50245,Consumer,65+,Bronze
50246,Consumer,45-54,Silver
50247,Consumer,45-54,Silver
50248,Consumer,35-44,Bronze
50249,Consumer,18-24,Bronze
50250,Consumer,25-34,Bronze
50251,SMB,55-64,Silver
50252,Consumer,25-34,Bronze
50253,Consumer,45-54,Gold
50254,SMB,25-34,Silver
50255,Consumer,55-64,Bronze
50256,Consumer,65+,Gold
50257,Consumer,45-54,Silver
50258,Consumer,18-24,Silver
50259,Consumer,45-54,Silver
50260,Consumer,35-44,Silver
50261,Consumer,55-64,Gold
50262,SMB,25-34,Silver
50263,Corporate,25-34,Bronze
50264,Consumer,65+,Bronze
50265,Consumer,55-64,Gold
50266,Consumer,65+,Silver
50267,SMB,35-44,Silver
50268,Corporate,45-54,Bronze
50269,Consumer,65+,Gold
50270,Consumer,45-54,Bronze
50271,Consumer,18-24,Bronze
50272,Consumer,25-34,Bronze
50273,Corporate,18-24,Gold
50274,Consumer,18-24,Silver
50275,Consumer,18-24,Silver
50276,Consumer,35-44,Bronze
50277,Consumer,45-54,Bronze
50278,SMB,55-64,Bronze
50279,Consumer,35-44,Bronze
50280,Consumer,25-34,Bronze
50281,Consumer,65+,Bronze
50282,Corporate,65+,Bronze
50283,SMB,65+,Gold
50284,Consumer,18-24,Gold
50285,SMB,45-54,Silver
50286,Consumer,45-54,Bronze
50287,SMB,35-44,Bronze
50288,Consumer,25-34,Bronze
50289,SMB,65+,Silver
50290,Consumer,35-44,Bronze
50291,Consumer,18-24,Gold
50292,Consumer,35-44,Bronze
50293,Consumer,45-54,Gold
50294,Consumer,25-34,Bronze
50295,Consumer,55-64,Silver
50296,Consumer,25-34,Bronze
50297,Consumer,35-44,Silver
50298,Consumer,25-34,Bronze
50299,Consumer,25-34,Bronze
50300,Consumer,55-64,Bronze
50301,Consumer,35-44,Bronze
50302,Consumer,55-64,Silver
50303,Consumer,55-64,Bronze
50304,Consumer,25-34,Silver
50305,Consumer,18-24,Silver
50306,SMB,35-44,Bronze
50307,Consumer,25-34,Bronze
50308,Consumer,55-64,Bronze
50309,SMB,25-34,Silver
50310,Consumer,45-54,Bronze
50311,SMB,18-24,Bronze
50312,Corporate,25-34,Bronze
50313,Consumer,25-34,Bronze
50314,SMB,55-64,Silver
50315,Consumer,45-54,Bronze
50316,Consumer,45-54,Bronze
50317,Consumer,18-24,Bronze
50318,Consumer,25-34,Gold
50319,Corporate,55-64,Bronze
50320,Consumer,45-54,Bronze
50321,SMB,55-64,Bronze
50322,Consumer,35-44,Bronze
50323,Consumer,25-34,Bronze
50324,Corporate,65+,Silver
50325,Consumer,25-34,Gold
50326,Consumer,25-34,Bronze
50327,Corporate,45-54,Gold
50328,Consumer,18-24,Bronze
50329,Consumer,55-64,Bronze
50330,Consumer,45-54,Silver
50331,Corporate,35-44,Bronze
50332,Consumer,35-44,Gold
50333,Corporate,35-44,Bronze
50334,Consumer,18-24,Bronze
50335,Consumer,18-24,Gold
50336,Consumer,35-44,Gold
50337,Consumer,18-24,Bronze
50338,Consumer,25-34,Bronze
50339,SMB,35-44,Silver
50340,Consumer,45-54,Bronze
50341,Corporate,35-44,Gold
50342,Consumer,25-34,Bronze
50343,SMB,55-64,Gold
50344,Consumer,55-64,Silver
50345,SMB,45-54,Silver
50346,SMB,45-54,Silver
50347,Corporate,25-34,Bronze
50348,Consumer,55-64,Bronze
50349,Consumer,45-54,Bronze
50350,Corporate,25-34,Silver
50351,Corporate,45-54,Bronze
50352,Consumer,45-54,Bronze
50353,Corporate,45-54,Gold
50354,Consumer,35-44,Bronze
50355,Consumer,55-64,Gold
50356,SMB,45-54,Bronze
50357,Consumer,45-54,Silver
50358,Consumer,18-24,Silver
50359,Consumer,25-34,Bronze
50360,Consumer,65+,Gold
50361,Consumer,35-44,Silver
50362,Consumer,45-54,Gold
50363,SMB,25-34,Bronze
50364,Consumer,45-54,Bronze
50365,Consumer,45-54,Bronze
50366,SMB,55-64,Bronze
50367,Consumer,65+,Bronze
50368,Consumer,35-44,Gold
50369,Consumer,25-34,Silver
50370,Consumer,25-34,Bronze
50371,SMB,25-34,Bronze
50372,Consumer,35-44,Bronze
50373,Consumer,65+,Bronze
50374,Consumer,35-44,Bronze
50375,Consumer,45-54,Bronze
50376,Consumer,45-54,Gold
50377,Consumer,18-24,Bronze
50378,SMB,25-34,Gold
50379,Consumer,35-44,Bronze
50380,Consumer,18-24,Bronze
50381,Consumer,25-34,Silver
50382,Consumer,55-64,Bronze
50383,Consumer,45-54,Bronze
50384,Consumer,25-34,Bronze
50385,Consumer,18-24,Silver
50386,Consumer,55-64,Gold
50387,Consumer,35-44,Bronze
50388,Consumer,25-34,Bronze
50389,SMB,45-54,Silver
50390,Consumer,45-54,Silver
50391,Corporate,65+,Bronze
50392,Consumer,18-24,Bronze
50393,Consumer,55-64,Bronze
50394,Consumer,35-44,Silver
50395,Corporate,25-34,Gold
50396,Consumer,35-44,Bronze
50397,Consumer,18-24,Gold
50398,Corporate,25-34,Bronze
50399,Corporate,18-24,Bronze
50400,Consumer,45-54,Bronze
50401,Consumer,45-54,Bronze
50402,Consumer,25-34,Bronze
50403,SMB,25-34,Bronze
50404,Consumer,55-64,Bronze
50405,Consumer,35-44,Bronze
50406,Consumer,35-44,Silver
50407,Consumer,65+,Bronze
50408,Consumer,35-44,Silver
50409,Consumer,35-44,Bronze
50410,Consumer,45-54,Bronze
50411,Consumer,18-24,Bronze
50412,Consumer,35-44,Gold
50413,Consumer,55-64,Bronze
50414,Corporate,45-54,Silver
50415,Consumer,55-64,Silver
50416,Consumer,25-34,Bronze
50417,SMB,35-44,Bronze
50418,Consumer,25-34,Silver
50419,Consumer,25-34,Bronze
50420,Corporate,18-24,Bronze
50421,SMB,25-34,Bronze
50422,Consumer,25-34,Bronze
50423,Consumer,35-44,Silver
50424,Consumer,35-44,Bronze
50425,Consumer,55-64,Bronze
50426,Consumer,55-64,Silver
50427,Consumer,35-44,Silver
50428,Consumer,45-54,Bronze
50429,Consumer,35-44,Silver
50430,Consumer,25-34,Bronze
50431,Consumer,35-44,Silver
50432,Corporate,45-54,Silver
50433,Consumer,65+,Bronze
50434,Consumer,55-64,Gold
50435,Consumer,18-24,Gold
50436,SMB,45-54,Bronze
50437,Consumer,18-24,Silver
50438,Consumer,45-54,Bronze
50439,Consumer,55-64,Bronze
50440,Consumer,45-54,Bronze
50441,Consumer,18-24,Bronze
50442,Consumer,35-44,Silver
50443,Corporate,25-34,Silver
50444,SMB,45-54,Gold
50445,Consumer,45-54,Bronze
50446,Consumer,45-54,Bronze
50447,Consumer,35-44,Bronze
50448,SMB,45-54,Bronze
50449,Consumer,25-34,Silver
50450,Consumer,65+,Silver
50451,Consumer,65+,Silver
50452,SMB,18-24,Bronze
50453,SMB,45-54,Bronze
50454,Consumer,45-54,Silver
50455,Consumer,25-34,Silver
50456,Consumer,18-24,Gold
50457,SMB,18-24,Bronze
50458,Corporate,45-54,Bronze
50459,Consumer,18-24,Bronze
50460,SMB,35-44,Bronze
50461,Consumer,55-64,Bronze
50462,Consumer,18-24,Bronze
50463,Consumer,45-54,Silver
50464,Consumer,35-44,Bronze
50465,Consumer,35-44,Bronze
50466,Consumer,35-44,Silver
50467,SMB,35-44,Silver
50468,Consumer,55-64,Gold
50469,SMB,45-54,Bronze
50470,SMB,35-44,Bronze
50471,Consumer,25-34,Bronze
50472,Consumer,35-44,Gold
50473,Corporate,65+,Silver
50474,Consumer,55-64,Bronze
50475,Consumer,18-24,Bronze
50476,Consumer,35-44,Bronze
50477,Corporate,35-44,Silver
50478,Consumer,35-44,Silver
50479,Consumer,18-24,Gold
50480,Consumer,25-34,Silver
50481,Consumer,35-44,Bronze
50482,Consumer,45-54,Gold
50483,Corporate,45-54,Bronze
50484,Corporate,45-54,Silver
50485,Consumer,45-54,Bronze
50486,Consumer,18-24,Bronze
50487,Consumer,25-34,Silver
50488,SMB,25-34,Bronze
50489,Consumer,25-34,Gold
50490,SMB,35-44,Bronze
50491,Consumer,35-44,Gold
50492,Consumer,25-34,Silver
50493,SMB,18-24,Silver
50494,Consumer,55-64,Bronze
50495,Consumer,65+,Bronze
50496,Consumer,45-54,Bronze
50497,Consumer,25-34,Gold
50498,Corporate,35-44,Silver
50499,Consumer,65+,Silver
50500,Consumer,45-54,Bronze
50501,Consumer,45-54,Bronze
50502,Consumer,45-54,Silver
50503,Consumer,65+,Bronze
50504,Consumer,45-54,Silver
50505,Consumer,18-24,Bronze
50506,Consumer,35-44,Bronze
50507,Consumer,65+,Silver
50508,Consumer,25-34,Gold
50509,Consumer,18-24,Bronze
50510,Consumer,18-24,Gold
50511,Consumer,18-24,Silver
50512,Corporate,25-34,Bronze
50513,Corporate,55-64,Bronze
50514,Consumer,45-54,Gold
50515,Consumer,45-54,Silver
50516,SMB,35-44,Silver
50517,Consumer,35-44,Bronze
50518,SMB,55-64,Bronze
50519,Consumer,25-34,Bronze
50520,SMB,35-44,Silver
50521,Consumer,35-44,Bronze
50522,Consumer,45-54,Gold
50523,Corporate,55-64,Silver
50524,Consumer,45-54,Bronze
50525,SMB,45-54,Bronze
50526,Consumer,25-34,Gold
50527,Consumer,45-54,Silver
50528,Consumer,55-64,Silver
50529,Consumer,35-44,Bronze
50530,Consumer,55-64,Gold
50531,Consumer,35-44,Silver
50532,Consumer,35-44,Bronze
50533,Consumer,45-54,Silver
50534,Corporate,25-34,Bronze
50535,Corporate,25-34,Gold
50536,SMB,25-34,Bronze
50537,SMB,35-44,Bronze
50538,Consumer,45-54,Silver
50539,Corporate,45-54,Bronze
50540,Consumer,25-34,Gold
50541,SMB,25-34,Silver
50542,SMB,25-34,Silver
50543,Consumer,45-54,Bronze
50544,Consumer,35-44,Bronze
50545,Consumer,25-34,Bronze
50546,Consumer,25-34,Bronze
50547,Consumer,65+,Bronze
50548,Consumer,35-44,Bronze
50549,Consumer,65+,Silver
50550,SMB,25-34,Bronze
50551,Corporate,25-34,Bronze
50552,Consumer,45-54,Bronze
50553,Consumer,65+,Bronze
50554,Consumer,25-34,Bronze
50555,Consumer,55-64,Bronze
50556,Consumer,45-54,Silver
50557,Consumer,65+,Gold
50558,Consumer,65+,Silver
50559,Consumer,35-44,Bronze
50560,Consumer,65+,Silver
50561,Consumer,25-34,Bronze
50562,Consumer,35-44,Bronze
50563,Consumer,35-44,Bronze
50564,Consumer,25-34,Silver
50565,Corporate,35-44,Silver
50566,Consumer,55-64,Bronze
50567,SMB,18-24,Gold
50568,Consumer,35-44,Bronze
50569,SMB,35-44,Bronze
50570,Consumer,25-34,Silver
50571,Consumer,45-54,Bronze
50572,SMB,25-34,Bronze
50573,Consumer,45-54,Bronze
50574,Consumer,45-54,Silver
50575,Consumer,55-64,Silver
50576,Corporate,65+,Silver
50577,Consumer,65+,Bronze
50578,Consumer,35-44,Bronze
50579,Corporate,25-34,Gold
50580,Consumer,25-34,Bronze
50581,Consumer,55-64,Bronze
50582,Consumer,55-64,Silver
50583,Consumer,55-64,Bronze
50584,Consumer,55-64,Gold
50585,Consumer,45-54,Silver
50586,Consumer,55-64,Bronze
50587,Consumer,45-54,Bronze
50588,SMB,45-54,Bronze
50589,SMB,55-64,Silver
50590,Consumer,45-54,Bronze
50591,Consumer,55-64,Bronze
50592,Consumer,65+,Bronze
50593,Consumer,35-44,Silver
50594,Consumer,55-64,Bronze
50595,SMB,25-34,Bronze
50596,Consumer,35-44,Gold
50597,Consumer,55-64,Bronze
50598,Consumer,65+,Silver
50599,Consumer,65+,Silver
50600,SMB,55-64,Bronze
50601,SMB,55-64,Bronze
50602,Consumer,55-64,Silver
50603,Corporate,45-54,Silver
50604,SMB,25-34,Bronze
50605,Consumer,18-24,Bronze
50606,Consumer,55-64,Bronze
50607,SMB,55-64,Silver
50608,Consumer,45-54,Bronze
50609,Consumer,45-54,Bronze
50610,SMB,45-54,Bronze
50611,Consumer,45-54,Gold
50612,SMB,35-44,Bronze
50613,Consumer,45-54,Bronze
50614,Consumer,25-34,Gold
50615,Consumer,35-44,Bronze
50616,Corporate,45-54,Bronze
50617,Consumer,45-54,Gold
50618,Consumer,25-34,Bronze
50619,Consumer,25-34,Bronze
50620,Corporate,45-54,Gold
50621,Corporate,18-24,Silver
50622,Consumer,55-64,Bronze
50623,Corporate,25-34,Bronze
50624,Consumer,55-64,Silver
50625,Consumer,35-44,Bronze
50626,Consumer,65+,Bronze
50627,Consumer,25-34,Bronze
50628,Consumer,25-34,Bronze
50629,Consumer,45-54,Bronze
50630,Consumer,55-64,Bronze
50631,Consumer,35-44,Bronze
50632,Consumer,35-44,Gold
50633,SMB,45-54,Bronze
50634,Corporate,25-34,Bronze
50635,Consumer,35-44,Bronze
50636,Consumer,45-54,Bronze
50637,Consumer,25-34,Bronze
50638,Consumer,25-34,Gold
50639,Corporate,65+,Bronze
50640,Consumer,25-34,Silver
50641,SMB,65+,Silver
50642,Consumer,55-64,Gold
50643,Consumer,35-44,Silver
50644,SMB,55-64,Bronze
50645,Consumer,18-24,Gold
50646,SMB,45-54,Bronze
50647,Consumer,35-44,Bronze
50648,Consumer,25-34,Gold
50649,SMB,55-64,Bronze
50650,Consumer,18-24,Silver
50651,Consumer,55-64,Silver
50652,Consumer,18-24,Silver
50653,Consumer,45-54,Bronze
50654,Consumer,25-34,Gold
50655,SMB,35-44,Bronze
50656,SMB,65+,Bronze
50657,Consumer,55-64,Silver
50658,Consumer,18-24,Gold
50659,Corporate,25-34,Bronze
50660,Consumer,35-44,Bronze
50661,SMB,45-54,Silver
50662,Consumer,18-24,Bronze
50663,SMB,55-64,Bronze
50664,Consumer,55-64,Bronze
50665,SMB,65+,Silver
50666,SMB,25-34,Silver
50667,SMB,25-34,Bronze
50668,Consumer,55-64,Bronze
50669,SMB,35-44,Silver
50670,Consumer,25-34,Bronze
50671,Consumer,18-24,Bronze
50672,Consumer,25-34,Bronze
50673,Consumer,45-54,Bronze
50674,Consumer,45-54,Bronze
50675,Corporate,35-44,Bronze
50676,Consumer,65+,Bronze
50677,Consumer,35-44,Silver
50678,Consumer,35-44,Bronze
50679,SMB,35-44,Bronze
50680,Consumer,35-44,Gold
50681,Consumer,35-44,Bronze
50682,SMB,55-64,Gold
50683,Consumer,35-44,Bronze
50684,Consumer,25-34,Silver
50685,Consumer,35-44,Bronze
50686,Consumer,65+,Gold
50687,SMB,45-54,Gold
50688,Consumer,18-24,Silver
50689,Consumer,35-44,Bronze
50690,Consumer,35-44,Silver
50691,Consumer,18-24,Silver
50692,Consumer,65+,Silver
50693,Consumer,65+,Silver
50694,Corporate,18-24,Bronze
50695,Consumer,35-44,Silver
50696,Consumer,25-34,Bronze
50697,Consumer,25-34,Bronze
50698,SMB,25-34,Bronze
50699,SMB,18-24,Bronze
50700,Consumer,45-54,Bronze
50701,SMB,35-44,Gold
50702,Consumer,45-54,Bronze
50703,Corporate,55-64,Bronze
50704,Consumer,45-54,Bronze
50705,Consumer,35-44,Bronze
50706,SMB,25-34,Bronze
50707,Consumer,45-54,Bronze
50708,SMB,45-54,Bronze
50709,Consumer,55-64,Bronze
50710,Consumer,25-34,Bronze
50711,Consumer,18-24,Bronze
50712,SMB,55-64,Silver
50713,Consumer,45-54,Gold
50714,Corporate,18-24,Bronze
50715,SMB,45-54,Bronze
50716,Consumer,18-24,Silver
50717,Consumer,45-54,Bronze
50718,SMB,35-44,Bronze
50719,Consumer,45-54,Silver
50720,Consumer,18-24,Bronze
50721,Consumer,65+,Bronze
50722,Consumer,65+,Bronze
50723,Consumer,65+,Gold
50724,Consumer,55-64,Bronze
50725,Corporate,25-34,Gold
50726,SMB,65+,Silver
50727,Consumer,45-54,Silver
50728,Consumer,45-54,Silver
50729,Consumer,45-54,Silver
50730,Corporate,25-34,Gold
50731,Consumer,55-64,Bronze
50732,Consumer,45-54,Bronze
50733,Corporate,25-34,Silver
50734,Consumer,35-44,Bronze
50735,Consumer,25-34,Bronze
50736,Consumer,35-44,Bronze
50737,Consumer,65+,Gold
50738,Corporate,35-44,Silver
50739,Consumer,35-44,Silver
50740,Consumer,55-64,Bronze
50741,Consumer,18-24,Bronze
50742,SMB,18-24,Bronze
50743,Consumer,55-64,Gold
50744,Corporate,25-34,Bronze
50745,SMB,45-54,Bronze
50746,Corporate,55-64,Silver
50747,Consumer,45-54,Silver
50748,Consumer,18-24,Silver
50749,Consumer,25-34,Bronze
50750,Corporate,35-44,Bronze
50751,SMB,65+,Bronze
50752,Consumer,45-54,Bronze
50753,SMB,45-54,Bronze
50754,Corporate,45-54,Bronze
50755,Corporate,25-34,Gold
50756,SMB,45-54,Bronze
50757,SMB,18-24,Bronze
50758,SMB,35-44,Silver
50759,Consumer,55-64,Silver
50760,Consumer,25-34,Silver
50761,SMB,45-54,Silver
50762,Consumer,45-54,Bronze
50763,Consumer,25-34,Bronze
50764,Corporate,55-64,Bronze
50765,Consumer,25-34,Bronze
50766,Consumer,65+,Silver
50767,Corporate,35-44,Gold
50768,Consumer,45-54,Gold
50769,Corporate,65+,Bronze
50770,Corporate,55-64,Bronze
50771,Consumer,35-44,Gold
50772,Consumer,25-34,Silver
50773,Consumer,45-54,Bronze
50774,Corporate,45-54,Bronze
50775,Consumer,18-24,Silver
50776,Consumer,35-44,Bronze
50777,SMB,65+,Bronze
50778,Consumer,35-44,Bronze
50779,Consumer,25-34,Bronze
50780,SMB,45-54,Silver
50781,Consumer,35-44,Silver
50782,Consumer,65+,Silver
50783,Consumer,35-44,Silver
50784,Consumer,18-24,Bronze
50785,Consumer,25-34,Silver
50786,SMB,25-34,Silver
50787,Consumer,65+,Silver
50788,Consumer,35-44,Gold
50789,Consumer,35-44,Bronze
50790,Consumer,65+,Bronze
50791,SMB,25-34,Bronze
50792,Consumer,45-54,Bronze
50793,Consumer,65+,Gold
50794,Consumer,65+,Bronze
50795,Corporate,25-34,Silver
50796,Consumer,35-44,Silver
50797,Consumer,25-34,Bronze
50798,Consumer,45-54,Bronze
50799,SMB,25-34,Bronze
50800,Corporate,25-34,Bronze
50801,SMB,25-34,Bronze
50802,Consumer,25-34,Bronze
50803,Consumer,45-54,Bronze
50804,SMB,25-34,Silver
50805,Corporate,35-44,Silver
50806,Consumer,25-34,Bronze
50807,SMB,35-44,Silver
50808,Consumer,25-34,Bronze
50809,Consumer,35-44,Silver
50810,Consumer,45-54,Gold
50811,Consumer,25-34,Silver
50812,Corporate,45-54,Bronze
50813,Consumer,35-44,Bronze
50814,Consumer,18-24,Silver
50815,SMB,18-24,Silver
50816,Consumer,65+,Bronze
50817,Consumer,18-24,Silver
50818,Consumer,25-34,Gold
50819,Consumer,55-64,Silver
50820,Consumer,18-24,Bronze
50821,Consumer,25-34,Gold
50822,Consumer,25-34,Bronze
50823,Consumer,55-64,Bronze
50824,Consumer,18-24,Bronze
50825,SMB,65+,Gold
50826,SMB,18-24,Silver
50827,Consumer,45-54,Bronze
50828,Consumer,55-64,Bronze
50829,Corporate,35-44,Gold
50830,Consumer,35-44,Bronze
50831,Consumer,35-44,Silver
50832,Consumer,25-34,Silver
50833,Consumer,65+,Bronze
50834,Corporate,35-44,Silver
50835,Consumer,45-54,Bronze
50836,Corporate,45-54,Silver
50837,Consumer,65+,Gold
50838,SMB,25-34,Silver
50839,Consumer,25-34,Bronze
50840,SMB,55-64,Silver
50841,Consumer,35-44,Bronze
50842,SMB,45-54,Bronze
50843,Consumer,45-54,Silver
50844,Consumer,55-64,Silver
50845,Consumer,55-64,Bronze
50846,Consumer,45-54,Gold
50847,Consumer,18-24,Bronze
50848,SMB,55-64,Bronze
50849,SMB,18-24,Bronze
50850,Consumer,55-64,Gold
50851,Consumer,18-24,Silver
50852,Consumer,55-64,Bronze
50853,Consumer,45-54,Bronze
50854,Consumer,18-24,Gold
50855,Consumer,55-64,Bronze
50856,Consumer,45-54,Bronze
50857,Consumer,25-34,Silver
