ReturnLineID,ReturnDate,ProductID,StoreID,QuantityReturned,ReturnAmount,ReturnCOGS,ProfitImpact,SaleLineID
30,2024-07-13,10008,2015,2,2265.45,1566.68,-698.77,423
31,2023-07-21,10031,2013,2,1417.26,1097.86,-319.4,429
32,2024-09-21,10039,2012,2,714.18,511.32,-202.86,439
33,2024-03-21,10024,2010,2,1771.02,1792.66,21.64,446
34,2024-12-31,10009,2015,3,68.06,23.85,-44.21,451
35,2024-04-22,10031,2016,1,798.61,548.93,-249.68,453
36,2024-07-16,10020,2009,3,1107.07,829.23,-277.84,505
37,2024-01-19,10024,2019,2,2421.94,1792.66,-629.28,517
38,2023-04-02,10027,2006,1,36.39,11.18,-25.21,534
39,2024-09-30,10001,2003,1,753.17,511.67,-241.5,571
40,2024-11-22,10018,2011,2,112.86,45.16,-67.7,572
41,2024-12-31,10001,2001,2,1284.87,1023.34,-261.53,574
42,2023-08-27,10034,2020,3,210.11,68.04,-142.07,584
43,2023-04-07,10032,2011,1,110.67,95.98,-14.69,603
44,2023-04-28,10015,2004,2,687.72,586.2,-101.52,617
45,2024-12-15,10026,2001,2,72.28,26.2,-46.08,626
46,2023-05-19,10032,2003,2,208.84,191.96,-16.88,648
47,2023-08-29,10020,2002,2,758.81,552.82,-205.99,675
48,2024-02-07,10001,2009,1,740.4,511.67,-228.73,679
49,2024-02-28,10009,2008,1,22.5,7.95,-14.55,687
50,2024-01-14,10001,2004,1,795.24,511.67,-283.57,699
51,2024-07-15,10021,2015,1,153.67,119.09,-34.58,724
52,2024-06-22,10036,2005,2,2299.13,1524.86,-774.27,736
53,2023-12-07,10006,2015,2,73.58,66.9,-6.68,739
54,2024-11-18,10029,2012,1,14.57,7.71,-6.86,742
55,2023-12-22,10009,2001,1,22.84,7.95,-14.89,788
56,2024-10-02,10036,2006,3,3223.59,2287.29,-936.3,837
57,2024-07-04,10014,2018,2,215.99,101.9,-114.09,876
58,2024-02-22,10023,2017,2,2841.34,2068.5,-772.84,895
59,2024-04-17,10009,2005,1,24.55,7.95,-16.6,900
60,2024-03-30,10008,2005,1,1093.08,783.34,-309.74,920
61,2023-05-06,10031,2011,1,669.94,548.93,-121.01,930
62,2023-04-18,10014,2007,1,109.43,50.95,-58.48,942
63,2023-03-27,10001,2018,1,813.58,511.67,-301.91,977
64,2024-09-22,10038,2016,1,333.97,224.2,-109.77,990
65,2024-02-21,10024,2015,2,2014.93,1792.66,-222.27,1032
66,2023-11-26,10011,2019,1,42.57,25.08,-17.49,1039
67,2024-02-04,10031,2017,1,772.02,548.93,-223.09,1082
68,2023-06-27,10015,2018,1,403.59,293.1,-110.49,1105
69,2024-03-04,10021,2005,1,178.72,119.09,-59.63,1124
70,2024-01-27,10040,2003,3,1229.23,783.36,-445.87,1128
71,2024-10-19,10021,2013,2,294.32,238.18,-56.14,1132
72,2024-08-22,10032,2001,1,122.76,95.98,-26.78,1137
73,2023-08-09,10029,2013,1,13.23,7.71,-5.52,1139
74,2023-08-10,10009,2011,1,19.28,7.95,-11.33,1156
75,2023-04-24,10001,2017,3,2116.64,1535.01,-581.63,1181
76,2024-09-24,10032,2007,1,109.43,95.98,-13.45,1242
77,2023-07-04,10008,2005,2,2399.2,1566.68,-832.52,1259
78,2024-01-27,10010,2002,2,516.63,412.96,-103.67,1263
79,2024-06-06,10039,2015,1,305.66,255.66,-50.0,1268
80,2024-01-04,10038,2008,1,323.97,224.2,-99.77,1299
81,2023-08-10,10027,2003,3,88.65,33.54,-55.11,1354
82,2024-08-07,10020,2005,1,369.02,276.41,-92.61,1367
83,2024-02-09,10023,2016,2,2836.83,2068.5,-768.33,1374
84,2024-01-04,10006,2012,1,44.53,33.45,-11.08,1375
85,2023-10-25,10015,2018,2,804.98,586.2,-218.78,1394
86,2024-06-08,10038,2002,1,331.81,224.2,-107.61,1401
87,2023-05-18,10001,2004,3,1784.18,1535.01,-249.17,1409
88,2023-05-05,10021,2003,1,166.53,119.09,-47.44,1422
89,2023-08-23,10026,2010,2,69.79,26.2,-43.59,1448
90,2023-08-27,10034,2019,1,80.82,22.68,-58.14,1501
91,2023-10-21,10031,2003,2,1733.0,1097.86,-635.14,1506
92,2023-10-24,10012,2019,3,176.52,103.05,-73.47,1522
93,2024-06-19,10035,2016,1,974.47,668.36,-306.11,1523
94,2023-08-29,10026,2015,1,36.89,13.1,-23.79,1524
95,2023-10-06,10039,2009,1,333.37,255.66,-77.71,1525
96,2024-12-09,10024,2014,3,3703.19,2688.99,-1014.2,1537
97,2024-05-03,10015,2001,2,823.48,586.2,-237.28,1573
98,2023-09-02,10001,2012,2,1643.33,1023.34,-619.99,1576
99,2023-07-10,10037,2009,1,14.4,5.16,-9.24,1578
100,2023-11-06,10016,2007,1,33.77,22.4,-11.37,1581
101,2024-01-05,10011,2015,1,41.87,25.08,-16.79,1625
102,2023-07-22,10025,2014,2,233.65,107.06,-126.59,1632
103,2024-11-28,10037,2010,2,27.41,10.32,-17.09,1675
104,2024-11-14,10007,2010,1,311.66,256.61,-55.05,1685
105,2023-08-28,10008,2015,2,2435.16,1566.68,-868.48,1686
106,2023-11-01,10036,2006,1,957.15,762.43,-194.72,1711
107,2023-03-27,10030,2011,2,81.37,34.46,-46.91,1713
108,2023-09-28,10015,2011,1,402.9,293.1,-109.8,1744
109,2023-08-24,10008,2010,2,2372.54,1566.68,-805.86,1748
110,2023-12-26,10015,2005,1,320.87,293.1,-27.77,1753
111,2024-05-15,10003,2001,2,54.18,17.58,-36.6,1756
112,2023-02-13,10035,2011,2,1771.85,1336.72,-435.13,1760
113,2023-07-04,10022,2006,2,24.58,12.5,-12.08,1765
114,2024-06-22,10039,2008,1,354.58,255.66,-98.92,1799
115,2023-03-22,10012,2017,1,56.13,34.35,-21.78,1819
116,2023-03-14,10015,2002,1,331.78,293.1,-38.68,1833
117,2024-02-10,10001,2017,2,1713.56,1023.34,-690.22,1842
118,2024-02-07,10006,2019,1,46.45,33.45,-13.0,1845
119,2023-12-28,10015,2018,2,706.05,586.2,-119.85,1863
120,2023-10-18,10003,2007,2,53.46,17.58,-35.88,1873
121,2024-09-09,10032,2018,1,129.03,95.98,-33.05,1892
122,2024-09-24,10038,2012,2,664.12,448.4,-215.72,1935
123,2023-07-04,10037,2002,2,26.17,10.32,-15.85,1936
124,2023-04-14,10019,2002,2,55.98,32.46,-23.52,1953
125,2024-05-08,10028,2015,1,35.84,15.67,-20.17,1963
126,2024-12-31,10009,2001,1,24.04,7.95,-16.09,1976
127,2024-11-10,10020,2012,1,338.02,276.41,-61.61,1986
128,2024-05-20,10035,2002,2,1591.02,1336.72,-254.3,2019
129,2023-09-18,10035,2020,3,2477.32,2005.08,-472.24,2033
130,2023-09-20,10038,2010,3,1071.46,672.6,-398.86,2072
131,2023-05-25,10013,2001,1,46.87,11.81,-35.06,2089
132,2023-10-22,10023,2003,2,2621.85,2068.5,-553.35,2091
133,2023-02-17,10015,2003,1,407.45,293.1,-114.35,2095
134,2024-11-26,10014,2003,1,117.95,50.95,-67.0,2127
135,2024-12-31,10008,2019,1,1159.41,783.34,-376.07,2129
136,2024-04-06,10033,2007,3,1932.67,1720.44,-212.23,2145
137,2023-04-15,10033,2016,1,566.53,573.48,6.95,2197
138,2023-10-08,10032,2002,2,248.52,191.96,-56.56,2220
139,2023-02-10,10007,2011,2,638.77,513.22,-125.55,2221
140,2023-12-13,10001,2013,3,2487.39,1535.01,-952.38,2279
141,2024-08-20,10033,2011,1,771.5,573.48,-198.02,2294
142,2024-07-30,10012,2020,1,57.24,34.35,-22.89,2295
143,2023-07-19,10017,2010,3,210.23,161.82,-48.41,2301
144,2024-10-29,10028,2003,1,29.73,15.67,-14.06,2312
145,2024-02-07,10001,2002,2,1529.19,1023.34,-505.85,2330
146,2024-08-08,10022,2015,2,32.14,12.5,-19.64,2336
147,2024-12-16,10023,2012,2,2385.7,2068.5,-317.2,2341
148,2024-09-07,10007,2003,3,1095.96,769.83,-326.13,2354
149,2024-10-04,10036,2016,3,3408.42,2287.29,-1121.13,2381
150,2024-11-03,10032,2019,1,132.68,95.98,-36.7,2390
151,2024-12-31,10020,2005,1,338.14,276.41,-61.73,2391
152,2023-10-13,10023,2009,2,2719.18,2068.5,-650.68,2411
153,2023-05-13,10022,2002,1,13.4,6.25,-7.15,2419
154,2023-10-22,10007,2012,1,339.89,256.61,-83.28,2425
155,2024-11-22,10009,2020,1,23.57,7.95,-15.62,2444
156,2024-09-19,10008,2018,1,1279.3,783.34,-495.96,2453
157,2023-11-25,10035,2016,1,971.04,668.36,-302.68,2460
158,2024-05-30,10035,2014,1,853.79,668.36,-185.43,2499
159,2023-11-27,10013,2010,3,119.54,35.43,-84.11,2521
160,2024-12-10,10029,2009,1,13.61,7.71,-5.9,2536
161,2024-11-08,10018,2003,3,174.43,67.74,-106.69,2568
162,2023-12-28,10034,2016,1,72.1,22.68,-49.42,2596
163,2024-04-29,10006,2011,2,68.52,66.9,-1.62,2633
164,2024-04-02,10034,2011,3,222.78,68.04,-154.74,2661
165,2023-04-15,10018,2011,1,55.7,22.58,-33.12,2679
166,2023-03-20,10005,2015,1,421.74,236.17,-185.57,2692
167,2024-01-30,10033,2012,1,781.15,573.48,-207.67,2696
168,2024-03-29,10027,2005,1,40.13,11.18,-28.95,2725
169,2023-11-26,10038,2013,1,346.27,224.2,-122.07,2742
170,2023-01-06,10011,2001,1,42.45,25.08,-17.37,2752
171,2024-12-31,10023,2003,1,1325.84,1034.25,-291.59,2777
172,2024-01-08,10038,2013,2,742.28,448.4,-293.88,2786
173,2024-08-31,10004,2002,3,380.72,246.48,-134.24,2788
174,2023-12-09,10003,2008,3,87.48,26.37,-61.11,2801
175,2024-06-24,10001,2003,1,712.95,511.67,-201.28,2883
176,2024-12-23,10019,2018,3,68.82,48.69,-20.13,2890
177,2024-02-24,10012,2017,1,58.12,34.35,-23.77,2917
178,2023-08-25,10026,2014,1,41.86,13.1,-28.76,2932
179,2023-12-27,10019,2010,1,30.42,16.23,-14.19,2944
180,2024-06-14,10032,2007,1,123.17,95.98,-27.19,2974
181,2023-10-17,10036,2001,3,2853.86,2287.29,-566.57,2985
182,2024-07-30,10004,2017,1,119.39,82.16,-37.23,3053
183,2024-03-22,10001,2010,2,1654.78,1023.34,-631.44,3063
184,2024-08-09,10027,2017,1,37.9,11.18,-26.72,3073
185,2023-06-08,10008,2011,2,2550.68,1566.68,-984.0,3085
186,2023-03-03,10008,2016,2,2202.55,1566.68,-635.87,3088
187,2024-03-03,10035,2003,2,1468.65,1336.72,-131.93,3117
188,2024-12-03,10008,2002,1,1253.99,783.34,-470.65,3127
189,2023-04-21,10040,2020,1,302.99,261.12,-41.87,3129
190,2023-03-19,10018,2018,2,107.0,45.16,-61.84,3136
191,2024-06-14,10016,2007,1,32.23,22.4,-9.83,3158
192,2023-11-17,10039,2011,1,344.95,255.66,-89.29,3163
193,2024-12-04,10001,2001,2,1737.92,1023.34,-714.58,3165
194,2024-06-14,10035,2014,1,764.97,668.36,-96.61,3166
195,2023-05-29,10020,2008,3,1184.47,829.23,-355.24,3173
196,2024-07-09,10035,2003,1,848.08,668.36,-179.72,3175
197,2024-12-15,10020,2012,1,345.87,276.41,-69.46,3236
198,2023-09-24,10013,2014,3,144.72,35.43,-109.29,3250
199,2024-06-28,10034,2012,1,74.22,22.68,-51.54,3252
200,2024-09-21,10027,2002,1,39.68,11.18,-28.5,3317
201,2024-08-30,10037,2016,1,14.84,5.16,-9.68,3334
202,2024-09-25,10032,2020,2,229.68,191.96,-37.72,3365
203,2023-04-02,10034,2006,1,74.61,22.68,-51.93,3376
204,2024-06-13,10039,2014,1,352.75,255.66,-97.09,3378
205,2024-09-22,10037,2012,3,43.16,15.48,-27.68,3383
206,2024-07-04,10032,2007,1,118.64,95.98,-22.66,3391
207,2024-12-06,10001,2014,1,751.21,511.67,-239.54,3423
208,2024-12-31,10018,2011,1,55.39,22.58,-32.81,3438
209,2024-11-10,10001,2007,1,666.41,511.67,-154.74,3457
210,2024-12-31,10012,2009,2,100.15,68.7,-31.45,3463
211,2024-02-15,10037,2005,2,26.61,10.32,-16.29,3510
212,2023-12-05,10027,2002,1,42.45,11.18,-31.27,3514
213,2023-02-01,10021,2020,2,324.21,238.18,-86.03,3524
214,2024-06-04,10016,2015,1,31.43,22.4,-9.03,3542
215,2024-06-08,10022,2002,2,28.63,12.5,-16.13,3553
216,2024-11-27,10029,2015,1,14.48,7.71,-6.77,3574
217,2024-01-14,10016,2020,1,32.98,22.4,-10.58,3598
218,2023-06-04,10034,2007,1,75.32,22.68,-52.64,3645
219,2023-09-19,10009,2019,2,50.49,15.9,-34.59,3650
220,2023-09-11,10036,2006,3,2465.14,2287.29,-177.85,3656
221,2023-12-07,10029,2008,2,27.46,15.42,-12.04,3664
222,2024-10-25,10033,2001,3,2164.09,1720.44,-443.65,3674
223,2023-05-09,10036,2011,1,1085.0,762.43,-322.57,3685
224,2023-03-12,10035,2007,1,948.74,668.36,-280.38,3693
225,2024-05-23,10031,2003,2,1590.97,1097.86,-493.11,3698
226,2024-02-22,10014,2007,2,238.14,101.9,-136.24,3715
227,2024-02-20,10014,2004,1,95.23,50.95,-44.28,3761
228,2024-01-04,10033,2005,3,2144.49,1720.44,-424.05,3814
229,2024-08-23,10036,2014,2,2322.14,1524.86,-797.28,3836
230,2023-05-08,10008,2004,2,2588.95,1566.68,-1022.27,3843
231,2024-12-15,10026,2006,1,39.44,13.1,-26.34,3859
232,2023-12-13,10014,2006,1,111.05,50.95,-60.1,3901
233,2024-04-08,10034,2014,1,66.77,22.68,-44.09,3928
234,2023-12-08,10033,2010,1,777.62,573.48,-204.14,3958
235,2023-07-15,10023,2013,2,2949.03,2068.5,-880.53,3978
236,2023-06-26,10021,2018,2,281.41,238.18,-43.23,3987
237,2024-05-15,10005,2011,2,754.36,472.34,-282.02,4011
238,2023-04-23,10001,2008,1,779.24,511.67,-267.57,4021
239,2024-12-03,10019,2015,1,29.47,16.23,-13.24,4038
240,2024-01-23,10011,2015,2,70.54,50.16,-20.38,4039
241,2024-10-28,10010,2001,1,322.43,206.48,-115.95,4051
242,2023-12-03,10036,2009,2,2398.33,1524.86,-873.47,4076
243,2023-06-06,10031,2017,2,1439.54,1097.86,-341.68,4077
244,2024-10-16,10034,2009,2,106.43,45.36,-61.07,4080
245,2024-06-09,10004,2010,1,117.48,82.16,-35.32,4102
246,2024-07-15,10002,2008,1,17.64,7.36,-10.28,4117
247,2024-12-31,10013,2002,3,136.81,35.43,-101.38,4122
248,2024-12-31,10022,2009,1,14.59,6.25,-8.34,4147
249,2024-04-17,10010,2013,1,324.56,206.48,-118.08,4152
250,2023-06-06,10034,2005,1,72.8,22.68,-50.12,4185
251,2023-12-24,10006,2011,2,94.01,66.9,-27.11,4187
252,2024-02-17,10032,2005,1,118.9,95.98,-22.92,4216
253,2024-09-04,10026,2007,1,36.62,13.1,-23.52,4219
254,2023-06-13,10040,2015,1,393.78,261.12,-132.66,4221
255,2024-03-11,10008,2015,2,2553.51,1566.68,-986.83,4238
256,2023-10-17,10009,2017,1,26.44,7.95,-18.49,4249
257,2024-02-27,10023,2003,1,1517.21,1034.25,-482.96,4275
258,2024-01-05,10039,2011,1,363.57,255.66,-107.91,4285
259,2023-04-18,10037,2006,3,46.76,15.48,-31.28,4293
260,2024-12-31,10031,2012,1,762.15,548.93,-213.22,4299
261,2024-03-31,10010,2014,1,330.26,206.48,-123.78,4315
262,2023-04-28,10035,2013,3,2557.11,2005.08,-552.03,4357
263,2023-11-17,10034,2018,1,81.7,22.68,-59.02,4363
264,2023-02-16,10037,2008,1,12.73,5.16,-7.57,4364
265,2023-07-18,10009,2003,3,51.02,23.85,-27.17,4392
266,2023-06-20,10024,2009,1,1273.88,896.33,-377.55,4430
267,2024-01-12,10015,2005,1,385.72,293.1,-92.62,4433
268,2023-04-04,10033,2020,1,754.52,573.48,-181.04,4435
269,2023-09-02,10012,2014,2,95.03,68.7,-26.33,4436
270,2023-07-11,10014,2013,1,137.55,50.95,-86.6,4443
271,2023-03-28,10034,2014,1,59.38,22.68,-36.7,4556
272,2024-08-03,10006,2020,1,42.85,33.45,-9.4,4656
273,2023-08-19,10040,2002,2,874.24,522.24,-352.0,4697
274,2024-07-17,10037,2001,1,14.93,5.16,-9.77,4723
275,2024-11-29,10039,2006,2,668.92,511.32,-157.6,4812
276,2023-04-17,10008,2005,1,1396.75,783.34,-613.41,4820
277,2023-05-22,10022,2002,3,43.57,18.75,-24.82,4825
278,2024-08-10,10021,2014,1,147.64,119.09,-28.55,4830
279,2023-08-08,10003,2013,2,61.05,17.58,-43.47,4862
280,2023-02-18,10027,2018,1,30.91,11.18,-19.73,4864
281,2024-12-31,10020,2003,1,321.31,276.41,-44.9,4872
282,2024-04-22,10029,2010,1,15.1,7.71,-7.39,4882
283,2023-05-23,10001,2020,2,1338.14,1023.34,-314.8,4886
284,2024-05-29,10035,2019,1,891.26,668.36,-222.9,4943
285,2024-01-29,10024,2013,2,2285.76,1792.66,-493.1,4948
286,2024-12-19,10008,2005,1,1361.37,783.34,-578.03,4979
287,2023-07-04,10039,2015,1,322.83,255.66,-67.17,5007
288,2023-03-15,10038,2001,3,970.84,672.6,-298.24,5017
289,2023-11-01,10002,2012,1,17.97,7.36,-10.61,5061
290,2023-06-07,10011,2019,1,44.26,25.08,-19.18,5084
291,2023-01-24,10015,2003,2,858.47,586.2,-272.27,5087
292,2024-05-30,10022,2007,2,28.69,12.5,-16.19,5092
293,2024-07-20,10040,2016,1,348.83,261.12,-87.71,5096
294,2024-12-31,10024,2012,1,1157.1,896.33,-260.77,5100
295,2023-09-01,10002,2008,1,18.72,7.36,-11.36,5105
296,2023-05-24,10029,2006,3,37.71,23.13,-14.58,5128
297,2024-04-26,10040,2015,2,704.66,522.24,-182.42,5129
298,2023-07-21,10028,2013,1,36.68,15.67,-21.01,5130
299,2023-06-11,10015,2019,1,398.91,293.1,-105.81,5155
300,2024-11-10,10027,2018,1,38.47,11.18,-27.29,5161
301,2023-04-10,10040,2012,1,427.36,261.12,-166.24,5173
302,2023-03-04,10033,2013,2,1586.12,1146.96,-439.16,5176
303,2023-07-02,10027,2001,1,39.85,11.18,-28.67,5179
304,2023-06-09,10035,2006,3,2847.11,2005.08,-842.03,5191
305,2024-02-23,10016,2013,2,60.18,44.8,-15.38,5193
306,2024-01-15,10023,2020,2,2154.57,2068.5,-86.07,5207
307,2024-08-07,10014,2013,2,261.75,101.9,-159.85,5208
308,2024-02-23,10025,2019,3,327.89,160.59,-167.3,5213
309,2024-08-19,10026,2013,3,117.57,39.3,-78.27,5240
310,2024-11-19,10029,2002,2,30.34,15.42,-14.92,5267
311,2024-08-18,10029,2008,3,40.32,23.13,-17.19,5330
312,2024-06-20,10033,2015,1,750.6,573.48,-177.12,5389
313,2023-09-21,10010,2011,1,294.43,206.48,-87.95,5405
314,2023-10-10,10038,2010,3,1112.32,672.6,-439.72,5431
315,2023-07-25,10038,2007,3,893.61,672.6,-221.01,5440
316,2023-03-04,10015,2013,1,406.57,293.1,-113.47,5457
317,2024-06-14,10021,2002,2,314.14,238.18,-75.96,5518
318,2024-05-26,10007,2001,1,327.49,256.61,-70.88,5532
319,2024-06-03,10001,2008,3,2340.24,1535.01,-805.23,5542
320,2024-03-21,10033,2019,1,808.85,573.48,-235.37,5551
321,2023-10-16,10013,2004,1,42.75,11.81,-30.94,5569
322,2023-08-11,10035,2018,2,1828.11,1336.72,-491.39,5602
323,2023-12-28,10027,2008,3,99.96,33.54,-66.42,5609
324,2023-07-22,10022,2020,1,11.75,6.25,-5.5,5616
325,2023-10-31,10022,2004,2,28.15,12.5,-15.65,5618
326,2024-09-11,10039,2011,3,1045.59,766.98,-278.61,5632
327,2024-12-01,10013,2005,2,88.14,23.62,-64.52,5633
328,2023-04-14,10032,2002,2,229.45,191.96,-37.49,5646
329,2024-10-08,10039,2020,2,724.21,511.32,-212.89,5663
330,2023-02-15,10035,2017,3,3002.42,2005.08,-997.34,5672
331,2023-10-28,10023,2011,1,1310.06,1034.25,-275.81,5710
332,2024-07-14,10005,2001,1,363.29,236.17,-127.12,5712
333,2024-12-31,10003,2009,1,24.43,8.79,-15.64,5714
334,2023-07-21,10010,2006,1,315.67,206.48,-109.19,5740
335,2024-12-16,10039,2017,2,767.82,511.32,-256.5,5746
336,2023-11-25,10031,2016,3,2100.33,1646.79,-453.54,5756
337,2024-05-14,10031,2016,1,797.1,548.93,-248.17,5773
338,2024-04-14,10012,2009,2,119.7,68.7,-51.0,5801
339,2024-12-31,10034,2018,1,79.07,22.68,-56.39,5808
340,2024-03-30,10026,2005,2,71.03,26.2,-44.83,5822
341,2024-11-07,10040,2001,1,303.62,261.12,-42.5,5825
342,2023-04-01,10035,2010,2,1801.26,1336.72,-464.54,5834
343,2024-10-03,10010,2008,1,292.4,206.48,-85.92,5839
344,2023-08-14,10034,2009,2,159.52,45.36,-114.16,5843
345,2023-04-06,10004,2002,1,138.98,82.16,-56.82,5844
346,2024-01-05,10005,2008,3,873.13,708.51,-164.62,5856
347,2023-03-10,10002,2012,1,20.05,7.36,-12.69,5895
348,2024-03-11,10008,2003,2,2389.44,1566.68,-822.76,5923
349,2024-06-10,10012,2011,3,147.14,103.05,-44.09,5937
350,2024-04-20,10015,2015,1,394.64,293.1,-101.54,6037
351,2023-10-20,10001,2017,3,2568.76,1535.01,-1033.75,6040
352,2024-03-06,10003,2011,1,33.39,8.79,-24.6,6092
353,2023-02-03,10004,2017,1,116.0,82.16,-33.84,6094
354,2023-12-05,10033,2018,1,781.05,573.48,-207.57,6113
355,2023-11-13,10029,2010,2,27.74,15.42,-12.32,6125
356,2023-12-27,10035,2013,1,945.1,668.36,-276.74,6129
357,2024-08-12,10023,2001,1,1427.34,1034.25,-393.09,6135
358,2023-09-24,10030,2011,3,90.24,51.69,-38.55,6186
359,2023-12-30,10002,2011,3,56.2,22.08,-34.12,6202
360,2024-04-12,10012,2018,1,60.6,34.35,-26.25,6207
361,2023-11-06,10019,2001,2,53.62,32.46,-21.16,6216
362,2024-11-09,10030,2007,2,72.25,34.46,-37.79,6247
363,2023-11-17,10034,2020,2,139.52,45.36,-94.16,6259
364,2023-10-11,10024,2005,1,1264.15,896.33,-367.82,6332
365,2023-12-11,10020,2007,1,395.47,276.41,-119.06,6349
366,2023-10-15,10013,2007,1,41.02,11.81,-29.21,6385
367,2024-01-14,10022,2002,1,14.25,6.25,-8.0,6403
368,2023-05-05,10009,2007,1,21.56,7.95,-13.61,6412
369,2024-12-24,10035,2016,2,1670.56,1336.72,-333.84,6415
370,2023-09-10,10031,2018,2,1719.66,1097.86,-621.8,6422
371,2023-12-14,10027,2016,3,109.68,33.54,-76.14,6426
372,2024-06-27,10039,2013,1,389.19,255.66,-133.53,6442
373,2023-06-07,10005,2017,2,773.58,472.34,-301.24,6443
374,2024-04-14,10012,2007,1,59.43,34.35,-25.08,6447
375,2024-06-10,10025,2015,1,91.42,53.53,-37.89,6457
376,2023-09-28,10015,2018,1,413.5,293.1,-120.4,6461
377,2024-06-19,10037,2012,1,13.74,5.16,-8.58,6463
378,2024-08-21,10035,2006,3,2514.17,2005.08,-509.09,6489
379,2023-11-10,10015,2017,3,1218.82,879.3,-339.52,6510
380,2024-01-04,10005,2003,2,768.86,472.34,-296.52,6522
381,2023-01-27,10035,2011,1,918.76,668.36,-250.4,6558
382,2024-05-25,10003,2002,3,84.5,26.37,-58.13,6580
383,2024-03-24,10005,2015,1,373.04,236.17,-136.87,6615
384,2024-04-17,10016,2008,2,63.55,44.8,-18.75,6630
385,2023-05-31,10026,2008,1,30.74,13.1,-17.64,6636
386,2024-09-08,10024,2015,2,2497.65,1792.66,-704.99,6640
387,2023-07-10,10018,2016,1,59.87,22.58,-37.29,6649
388,2023-11-30,10018,2020,1,64.13,22.58,-41.55,6657
389,2024-02-14,10013,2011,2,82.81,23.62,-59.19,6675
390,2024-05-21,10024,2003,1,1144.58,896.33,-248.25,6687
391,2023-09-22,10009,2017,1,23.93,7.95,-15.98,6694
392,2024-06-03,10031,2004,1,830.37,548.93,-281.44,6700
393,2023-06-20,10022,2006,2,31.84,12.5,-19.34,6718
394,2024-12-31,10007,2008,1,260.83,256.61,-4.22,6816
395,2023-10-30,10039,2001,1,396.41,255.66,-140.75,6821
396,2023-09-01,10039,2004,1,379.79,255.66,-124.13,6829
397,2023-01-29,10032,2014,1,129.9,95.98,-33.92,6830
398,2023-02-11,10039,2006,2,679.54,511.32,-168.22,6837
399,2023-11-08,10024,2008,1,927.97,896.33,-31.64,6840
400,2024-02-12,10018,2005,1,59.85,22.58,-37.27,6869
401,2024-11-24,10015,2020,1,380.5,293.1,-87.4,6887
402,2023-08-27,10036,2004,1,973.8,762.43,-211.37,6889
403,2023-12-17,10030,2012,1,37.65,17.23,-20.42,6906
404,2024-05-14,10023,2008,1,1330.75,1034.25,-296.5,7018
405,2024-03-10,10021,2019,3,515.99,357.27,-158.72,7021
406,2023-12-30,10008,2014,2,2479.06,1566.68,-912.38,7055
407,2024-07-26,10013,2009,2,80.65,23.62,-57.03,7082
408,2023-08-10,10007,2004,1,345.91,256.61,-89.3,7085
409,2023-11-22,10018,2020,2,117.1,45.16,-71.94,7096
410,2024-06-25,10031,2005,1,767.37,548.93,-218.44,7097
411,2023-02-13,10034,2001,1,67.86,22.68,-45.18,7104
412,2023-06-17,10030,2018,2,71.58,34.46,-37.12,7120
413,2023-11-28,10021,2003,1,167.0,119.09,-47.91,7123
414,2023-12-06,10008,2002,1,1285.8,783.34,-502.46,7131
415,2023-12-31,10039,2017,1,391.52,255.66,-135.86,7166
416,2023-02-24,10034,2012,3,254.25,68.04,-186.21,7178
417,2024-12-22,10008,2015,2,2446.92,1566.68,-880.24,7207
